datetime,open,high,low,close,volume
2023-11-24 09:00:00,0.4067,0.79,0.4067,0.6141,22372694.4
2023-11-24 09:30:00,0.6142,0.6367,0.6078,0.6209,9964359.6
2023-11-24 10:00:00,0.6209,0.635,0.6171,0.625,9562371.6
2023-11-24 10:30:00,0.625,0.6293,0.6189,0.6251,4156601.8
2023-11-24 11:00:00,0.625,0.65,0.62,0.6363,8764620.6
2023-11-24 11:30:00,0.6362,0.639,0.625,0.6255,3816779.1
2023-11-24 12:00:00,0.6254,0.6337,0.6205,0.6264,3935863.8
2023-11-24 12:30:00,0.6264,0.629,0.6124,0.6181,3461815.1
2023-11-24 13:00:00,0.6181,0.6247,0.6159,0.6231,2234214.9
2023-11-24 13:30:00,0.6232,0.632,0.615,0.6283,3141072.2
2023-11-24 14:00:00,0.6282,0.6303,0.6206,0.6219,2396600.8
2023-11-24 14:30:00,0.6219,0.6383,0.619,0.6336,3149953.8
2023-11-24 15:00:00,0.6338,0.6431,0.63,0.6378,5881775.4
2023-11-24 15:30:00,0.6378,0.6397,0.6272,0.633,3763572.3
2023-11-24 16:00:00,0.633,0.639,0.616,0.6235,3877215.2
2023-11-24 16:30:00,0.6235,0.6338,0.621,0.6317,3103708.7
2023-11-24 17:00:00,0.6318,0.6582,0.625,0.6381,6795764.1
2023-11-24 17:30:00,0.6382,0.667,0.6365,0.6625,6661530.1
2023-11-24 18:00:00,0.6626,0.6767,0.6455,0.6596,10568759.2
2023-11-24 18:30:00,0.6597,0.6635,0.644,0.6521,2726508.8
2023-11-24 19:00:00,0.6524,0.6595,0.6456,0.6578,2054599.1
2023-11-24 19:30:00,0.6577,0.6601,0.649,0.6544,1921290.4
2023-11-24 20:00:00,0.6544,0.6679,0.652,0.664,2577046.8
2023-11-24 20:30:00,0.6639,0.6837,0.6572,0.6813,4316441.5
2023-11-24 21:00:00,0.6811,0.6825,0.6709,0.6772,2419412.4
2023-11-24 21:30:00,0.6772,0.6788,0.6628,0.6706,2123193.2
2023-11-24 22:00:00,0.6707,0.6761,0.6656,0.6711,1399759.2
2023-11-24 22:30:00,0.671,0.6711,0.631,0.635,3716163.8
2023-11-24 23:00:00,0.635,0.6448,0.6196,0.6388,4499904.4
2023-11-24 23:30:00,0.6389,0.6526,0.6339,0.6484,3101261.6
2023-11-25 00:00:00,0.6489,0.6503,0.6369,0.6454,1885058.2
2023-11-25 00:30:00,0.6458,0.6475,0.6267,0.633,2378371.6
2023-11-25 01:00:00,0.6324,0.6519,0.632,0.6442,1971801.2
2023-11-25 01:30:00,0.6442,0.6491,0.6364,0.6472,1445904.6
2023-11-25 02:00:00,0.6465,0.6541,0.6339,0.6369,1925807.6
2023-11-25 02:30:00,0.6368,0.6429,0.6315,0.6378,1400027.7
2023-11-25 03:00:00,0.6378,0.6419,0.628,0.6387,1737917.3
2023-11-25 03:30:00,0.6387,0.642,0.634,0.6357,1242444.4
2023-11-25 04:00:00,0.6356,0.6388,0.626,0.6323,1204061.3
2023-11-25 04:30:00,0.6324,0.6335,0.6196,0.6269,1872457.2
2023-11-25 05:00:00,0.6269,0.645,0.6269,0.6403,1503075.0
2023-11-25 05:30:00,0.6403,0.645,0.6373,0.64,1177300.5
2023-11-25 06:00:00,0.64,0.6443,0.633,0.6353,1661440.0
2023-11-25 06:30:00,0.6353,0.6357,0.6276,0.631,1784928.0
2023-11-25 07:00:00,0.6312,0.6324,0.6156,0.6209,2221699.0
2023-11-25 07:30:00,0.6208,0.6237,0.6035,0.6187,4598724.4
2023-11-25 08:00:00,0.6188,0.623,0.6127,0.6155,2276785.1
2023-11-25 08:30:00,0.6154,0.6257,0.6151,0.6195,1970360.6
2023-11-25 09:00:00,0.6196,0.6228,0.6158,0.62,1854704.2
2023-11-25 09:30:00,0.6198,0.6212,0.6055,0.613,2667482.7
2023-11-25 10:00:00,0.613,0.6216,0.6109,0.6168,2262174.5
2023-11-25 10:30:00,0.6167,0.6172,0.6043,0.6125,3095430.1
2023-11-25 11:00:00,0.6125,0.613,0.5921,0.597,3630849.8
2023-11-25 11:30:00,0.5973,0.5997,0.5722,0.5825,5155942.7
2023-11-25 12:00:00,0.5823,0.596,0.5822,0.5898,3723860.4
2023-11-25 12:30:00,0.5899,0.6159,0.5899,0.6093,4389473.3
2023-11-25 13:00:00,0.6091,0.6216,0.6,0.6081,2908779.6
2023-11-25 13:30:00,0.6081,0.6173,0.6058,0.6102,1764322.8
2023-11-25 14:00:00,0.6102,0.6131,0.605,0.6096,1175293.9
2023-11-25 14:30:00,0.6096,0.6149,0.6061,0.6078,1424278.0
2023-11-25 15:00:00,0.6079,0.6165,0.6064,0.6162,1072472.6
2023-11-25 15:30:00,0.6159,0.6203,0.6087,0.61,1354356.1
2023-11-25 16:00:00,0.61,0.6165,0.6092,0.6117,1458920.0
