datetime,open,high,low,close,volume
2023-11-20,0.4067,0.79,0.4067,0.5642,318633479.8
2023-11-27,0.5644,0.589,0.4795,0.5399,524964159.0
2023-12-04,0.5399,0.5745,0.4666,0.53,530435270.1
2023-12-11,0.53,0.5324,0.426,0.4536,341752764.6
2023-12-18,0.4537,0.5517,0.391,0.5207,530684334.2
2023-12-25,0.5208,0.5565,0.4406,0.4633,227982273.3
2024-01-01,0.4633,0.5856,0.4248,0.4317,438488640.5
2024-01-08,0.4317,0.6529,0.3852,0.5481,703231679.9
2024-01-15,0.5481,0.735,0.5473,0.5998,762712050.8
2024-01-22,0.5999,0.6816,0.5684,0.6122,494704234.4
2024-01-29,0.6122,0.6937,0.5608,0.5697,295840214.8
2024-02-05,0.5697,0.6537,0.5581,0.6166,219450381.5
2024-02-12,0.6169,0.8,0.5998,0.7899,335013072.1
2024-02-19,0.7894,0.8341,0.6423,0.7559,339793466.6
2024-02-26,0.7565,0.8,0.6551,0.718,280903420.2
2024-03-04,0.7181,0.7387,0.539,0.7011,266157477.0
