datetime,open,high,low,close,volume
2023-12-07 16:00:00,0.15,4.94,0.15,1.7749,70091267.7
2023-12-07 20:00:00,1.7747,2.746,1.767,2.3936,56335785.0
2023-12-08 00:00:00,2.3935,3.2736,2.3722,2.8367,54171004.9
2023-12-08 04:00:00,2.8334,3.23,2.7556,2.8753,28862163.5
2023-12-08 08:00:00,2.872,3.1349,2.6413,2.8749,30793052.5
2023-12-08 12:00:00,2.8749,3.7146,2.8,3.49,50472535.7
2023-12-08 16:00:00,3.49,3.77,3.1644,3.2307,33059607.1
2023-12-08 20:00:00,3.2307,3.58,3.123,3.5794,20803082.9
2023-12-09 00:00:00,3.5794,3.6584,3.2275,3.3697,14078871.6
2023-12-09 04:00:00,3.3683,3.6688,3.319,3.5594,12201149.3
2023-12-09 08:00:00,3.5588,3.9671,3.4734,3.8723,33983154.7
2023-12-09 12:00:00,3.8753,4.3777,3.8685,4.2547,36854725.2
2023-12-09 16:00:00,4.255,4.45,3.8625,4.0506,19872783.0
2023-12-09 20:00:00,4.0504,4.089,3.2357,3.3499,25858849.5
2023-12-10 00:00:00,3.3499,3.74,3.348,3.5401,14365574.4
2023-12-10 04:00:00,3.541,3.6899,3.3251,3.435,10601757.9
2023-12-10 08:00:00,3.4374,3.466,3.17,3.271,15139714.8
2023-12-10 12:00:00,3.2718,3.489,3.2345,3.3878,11546857.9
2023-12-10 16:00:00,3.3899,3.436,3.2655,3.3559,6598064.1
2023-12-10 20:00:00,3.3551,3.57,3.3391,3.455,9201525.9
2023-12-11 00:00:00,3.4553,3.47,2.5412,3.0864,21763906.0
2023-12-11 04:00:00,3.0863,3.1696,2.9474,2.998,10291538.7
2023-12-11 08:00:00,2.9989,3.1284,2.8787,3.12,9579176.8
2023-12-11 12:00:00,3.1192,3.1422,2.8629,2.9396,9872060.2
2023-12-11 16:00:00,2.9381,3.02,2.7633,2.9188,10266798.2
2023-12-11 20:00:00,2.9169,3.059,2.8631,3.0028,5849534.7
2023-12-12 00:00:00,3.0032,3.3555,2.95,3.2751,11020392.4
2023-12-12 04:00:00,3.2737,3.31,3.0873,3.1978,9936683.2
2023-12-12 08:00:00,3.1993,3.28,3.0089,3.0143,9388072.0
2023-12-12 12:00:00,3.015,3.0331,2.8123,2.8558,13894727.5
2023-12-12 16:00:00,2.854,2.9304,2.792,2.9085,6761620.6
2023-12-12 20:00:00,2.9085,2.962,2.828,2.9607,3412785.7
2023-12-13 00:00:00,2.9606,2.985,2.6067,2.6392,7867214.7
2023-12-13 04:00:00,2.6369,2.7234,2.6,2.6786,5108881.8
2023-12-13 08:00:00,2.6788,2.734,2.621,2.6399,3673908.1
2023-12-13 12:00:00,2.64,2.741,2.6273,2.7171,5959322.1
2023-12-13 16:00:00,2.7168,2.906,2.6255,2.783,8706373.4
2023-12-13 20:00:00,2.7843,2.9392,2.77,2.836,7971395.1
2023-12-14 00:00:00,2.8349,3.0907,2.7726,3.0218,11188303.7
2023-12-14 04:00:00,3.0225,3.1807,2.96,3.1231,10603532.8
2023-12-14 08:00:00,3.1232,3.1361,2.9678,3.04,7137671.8
2023-12-14 12:00:00,3.0412,3.0412,2.715,2.9,9425834.5
2023-12-14 16:00:00,2.9,3.0467,2.9,3.02,7787171.8
2023-12-14 20:00:00,3.0201,3.46,2.9783,3.4552,15126151.5
2023-12-15 00:00:00,3.4576,3.6277,3.2835,3.3989,18218733.9
2023-12-15 04:00:00,3.3989,3.4075,3.1535,3.264,12426067.2
2023-12-15 08:00:00,3.264,3.4812,3.2,3.3431,10644493.1
2023-12-15 12:00:00,3.3431,3.3523,2.95,3.0815,13474056.5
2023-12-15 16:00:00,3.0812,3.1555,2.981,3.1331,7529920.5
2023-12-15 20:00:00,3.1335,3.2449,2.8,2.8381,10545057.6
2023-12-16 00:00:00,2.8386,2.99,2.7964,2.9251,5391239.8
2023-12-16 04:00:00,2.925,2.9303,2.85,2.9053,4261742.8
2023-12-16 08:00:00,2.9055,2.9796,2.9019,2.9518,4106930.8
2023-12-16 12:00:00,2.9507,3.029,2.915,2.981,5268413.4
2023-12-16 16:00:00,2.981,3.2,2.9112,2.9343,11655536.5
2023-12-16 20:00:00,2.9354,2.9681,2.8765,2.9249,3966143.1
2023-12-17 00:00:00,2.9241,2.9665,2.825,2.8663,4339714.2
2023-12-17 04:00:00,2.8665,2.8877,2.749,2.757,4612802.7
2023-12-17 08:00:00,2.757,2.8365,2.7256,2.794,3737133.9
2023-12-17 12:00:00,2.7923,2.8299,2.69,2.8068,6150552.6
2023-12-17 16:00:00,2.8075,2.8708,2.7566,2.7731,4276276.5
2023-12-17 20:00:00,2.774,2.8091,2.689,2.7041,2657260.1
2023-12-18 00:00:00,2.7049,2.7426,2.612,2.6554,4100933.0
2023-12-18 04:00:00,2.6548,2.6843,2.452,2.4616,7475688.0
2023-12-18 08:00:00,2.4622,2.4858,2.2232,2.3584,11906996.8
2023-12-18 12:00:00,2.359,2.4583,2.3263,2.3738,7294967.4
2023-12-18 16:00:00,2.3744,2.3983,2.3333,2.367,3610284.3
2023-12-18 20:00:00,2.3676,2.516,2.3395,2.5054,5694816.7
2023-12-19 00:00:00,2.5062,2.6551,2.4635,2.5439,6788985.3
2023-12-19 04:00:00,2.5439,2.5922,2.5081,2.5389,4278722.7
2023-12-19 08:00:00,2.5397,2.5928,2.4268,2.482,7129358.9
2023-12-19 12:00:00,2.4814,2.4987,2.35,2.4291,6999036.8
2023-12-19 16:00:00,2.4282,2.4412,2.355,2.4056,2969735.4
2023-12-19 20:00:00,2.4074,2.4088,2.3331,2.3739,2309513.8
2023-12-20 00:00:00,2.3742,2.4339,2.3294,2.395,3439090.1
2023-12-20 04:00:00,2.3949,2.5264,2.384,2.47,4823151.4
2023-12-20 08:00:00,2.4703,2.6547,2.4346,2.5984,7848756.2
