datetime,open,high,low,close,volume
2023-11-07,5.905,14.301,5.905,13.602,12804712.13
2023-11-08,13.603,14.65,11.701,12.559,9246576.52
2023-11-09,12.571,20.0,12.003,19.243,14788645.61
2023-11-10,19.278,22.2,17.236,19.85,10046100.76
2023-11-11,19.848,22.8,16.306,18.876,8429384.84
2023-11-12,18.868,23.89,17.547,21.751,8563251.94
2023-11-13,21.76,24.312,19.656,19.792,5844608.23
2023-11-14,19.798,22.812,17.964,21.973,6149689.53
2023-11-15,21.979,24.985,21.108,24.688,5255182.78
2023-11-16,24.699,27.8,23.221,24.165,6047010.33
2023-11-17,24.155,25.97,22.24,25.675,4991018.14
2023-11-18,25.667,26.652,23.0,24.08,3890801.51
2023-11-19,24.066,24.236,21.346,23.288,3896501.83
2023-11-20,23.288,24.056,21.45,21.504,3230751.33
2023-11-21,21.502,22.204,18.45,19.08,5047650.63
2023-11-22,19.091,22.636,19.029,22.353,3348563.9
2023-11-23,22.363,23.848,21.4,21.978,2623848.57
2023-11-24,21.974,22.49,20.344,20.957,2785437.09
2023-11-25,20.952,22.226,20.534,22.184,1709035.26
2023-11-26,22.185,22.365,19.3,20.156,2036727.89
2023-11-27,20.154,20.425,18.5,19.541,3303829.43
2023-11-28,19.551,20.8,19.188,20.327,2533903.81
2023-11-29,20.33,21.593,19.175,19.527,2495746.89
2023-11-30,19.539,20.878,19.166,20.562,1315392.69
2023-12-01,20.56,21.99,20.2,21.864,2618467.4
2023-12-02,21.866,33.33,21.827,31.988,8403968.83
2023-12-03,31.962,38.663,30.999,37.762,7536855.96
2023-12-04,37.795,54.74,36.661,52.237,10500732.59
2023-12-05,52.264,65.84,46.666,61.234,8376781.95
2023-12-06,61.23,69.8,40.685,53.987,18468895.1
2023-12-07,54.047,58.983,47.353,50.687,10591060.82
2023-12-08,50.69,54.2,46.177,51.118,6188998.0
2023-12-09,51.127,56.685,50.5,50.863,5177100.45
2023-12-10,50.862,53.5,48.58,51.613,2687022.33
2023-12-11,51.624,53.173,44.109,46.669,3931694.07
2023-12-12,46.683,57.938,46.401,51.75,7133402.1
2023-12-13,51.75,52.447,45.802,50.768,4699478.7
2023-12-14,50.774,67.977,50.579,64.368,8973507.68
2023-12-15,64.393,67.5,50.61,51.212,7302100.92
2023-12-16,51.227,55.144,49.0,52.191,4047908.38
2023-12-17,52.191,53.405,47.5,49.086,2987025.58
2023-12-18,49.079,52.576,45.1,51.128,3780436.79
2023-12-19,51.111,55.133,48.3,49.39,3700508.28
2023-12-20,49.397,55.196,49.083,53.742,3068285.92
2023-12-21,53.737,59.44,50.57,52.826,4052953.1
