datetime,open,high,low,close,volume
2023-11-06,5.905,23.89,5.905,21.751,63878671.8
2023-11-13,21.76,27.8,17.964,23.288,36074812.35
2023-11-20,23.288,24.056,18.45,20.156,20782014.67
2023-11-27,20.154,38.663,18.5,37.762,28208165.01
2023-12-04,37.795,69.8,36.661,51.613,61990591.24
2023-12-11,51.624,67.977,44.109,49.086,39075117.43
2023-12-18,49.079,59.44,45.1,52.223,21564122.85
2023-12-25,52.209,84.39,51.532,78.459,32152174.07
2024-01-01,78.461,92.0,64.148,67.311,20239846.21
2024-01-08,67.287,79.587,62.7,70.882,17106034.45
2024-01-15,70.886,78.099,62.802,66.447,8125633.82
2024-01-22,66.44,67.038,48.832,54.028,13433021.99
2024-01-29,54.029,64.9,51.501,52.407,10067410.68
2024-02-05,52.407,65.4,51.166,61.845,7745382.9
2024-02-12,61.845,73.566,60.556,69.445,9299249.21
2024-02-19,69.445,73.365,57.601,66.25,8017864.11
2024-02-26,66.245,87.443,62.0,81.816,18386763.01
2024-03-04,81.812,97.0,65.0,75.496,17552223.18
