datetime,open,high,low,close,volume
2023-12-18,0.3571,17.25,0.3571,12.6691,107438877.8
2023-12-25,12.6759,14.2748,8.5,9.3278,30494620.5
2024-01-01,9.3305,11.3547,7.3,8.4192,37780333.0
2024-01-08,8.4217,10.0969,7.05,9.315,27630624.9
2024-01-15,9.3,10.6528,7.3571,8.2744,19130344.3
2024-01-22,8.2728,9.8963,7.1865,9.2122,28244292.4
2024-01-29,9.2135,9.8168,8.0353,8.277,15249137.7
2024-02-05,8.277,9.544,7.9949,9.2854,9080924.2
2024-02-12,9.2846,11.3189,8.801,10.255,21228228.9
2024-02-19,10.2579,11.444,9.3949,10.41,16032480.5
2024-02-26,10.4115,13.6,10.02,13.02,26196696.3
2024-03-04,13.0255,14.162,10.0,13.38,29541551.6
