datetime,open,high,low,close,volume
2023-10-30,0.001,0.1,0.001,0.019846,25425182441.0
2023-11-06,0.019849,0.025,0.01574,0.021675,28935764499.0
2023-11-13,0.021695,0.041174,0.021275,0.030933,46222358359.0
2023-11-20,0.030928,0.033065,0.023523,0.029141,18718295195.0
2023-11-27,0.029155,0.03436,0.026,0.030277,14409722987.0
2023-12-04,0.030273,0.047362,0.027496,0.03856,33306287114.0
2023-12-11,0.038569,0.038977,0.030215,0.030854,12070956784.0
2023-12-18,0.030839,0.034332,0.027235,0.029479,9605000616.0
2023-12-25,0.029477,0.031549,0.026116,0.027282,5877814212.0
2024-01-01,0.027288,0.03142,0.01685,0.023109,12872208797.0
2024-01-08,0.023112,0.029812,0.020557,0.027417,9992826351.0
2024-01-15,0.027411,0.03067,0.022763,0.024447,8361618665.0
2024-01-22,0.024452,0.02459,0.020946,0.023144,4048830879.0
2024-01-29,0.023152,0.023947,0.021144,0.021708,3151215534.0
2024-02-05,0.021708,0.0245,0.021201,0.023453,2787028760.0
2024-02-12,0.023462,0.028287,0.022772,0.027671,5474187595.0
2024-02-19,0.027674,0.029637,0.024554,0.028175,6957506332.0
2024-02-26,0.028173,0.055426,0.027501,0.053161,27908415162.0
2024-03-04,0.053176,0.057555,0.031,0.048218,25703190754.0
