datetime,open,high,low,close,volume
2023-11-13,0.004861,0.010305,0.004861,0.009223,33031518696.0
2023-11-20,0.009209,0.0104,0.007521,0.00955,10289302600.0
2023-11-27,0.00955,0.013461,0.0084,0.012501,10474465506.0
2023-12-04,0.01251,0.01955,0.011,0.018172,14019082663.0
2023-12-11,0.018153,0.027363,0.0156,0.019519,15194230908.0
2023-12-18,0.019536,0.022552,0.0168,0.019354,7777305421.0
2023-12-25,0.019354,0.022239,0.016564,0.017164,5272626924.0
2024-01-01,0.017165,0.023459,0.011977,0.018045,8839683579.0
2024-01-08,0.018024,0.021529,0.015888,0.017691,5657502174.0
2024-01-15,0.017687,0.023438,0.017678,0.017879,5851879608.0
2024-01-22,0.017876,0.019438,0.015401,0.01798,3607337632.0
2024-01-29,0.01798,0.019455,0.016642,0.016842,2010146689.0
2024-02-05,0.016836,0.027382,0.016552,0.024978,5992832518.0
2024-02-12,0.024973,0.0327,0.024468,0.032111,7268297339.0
2024-02-19,0.032114,0.036666,0.0302,0.032113,4400333733.0
2024-02-26,0.032127,0.038,0.030755,0.033835,4880929806.0
2024-03-04,0.033834,0.044369,0.02971,0.040398,5862899167.0
